date,state,buy_n,sell_n,sell_share,target_gross_pct,hedge,action
2026-04-24,(blank),6,4,0.4,0,"start index hedge, rest cash","CAUTION (breadth SELL_share=0.40>=0.40): no NEW longs, begin hedge"
2026-04-27,(blank),2,1,0.333,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-04-28,(blank),4,2,0.333,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-04-29,(blank),11,0,0.0,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-06,(blank),27,3,0.1,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-07,(blank),15,9,0.375,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-08,(blank),8,1,0.111,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-11,(blank),9,2,0.182,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-12,(blank),0,9,1.0,0,cash; optional small SPY/QQQ put,"RISK-OFF (breadth SELL_share=1.00>=0.60): 0% long, 100% cash"
2026-05-13,(blank),6,5,0.455,0,"start index hedge, rest cash","CAUTION (breadth SELL_share=0.46>=0.40): no NEW longs, begin hedge"
2026-05-14,(blank),12,4,0.25,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-15,(blank),5,24,0.828,0,cash; optional small SPY/QQQ put,"RISK-OFF (breadth SELL_share=0.83>=0.60): 0% long, 100% cash"
2026-05-18,(blank),21,26,0.553,0,"start index hedge, rest cash","CAUTION (breadth SELL_share=0.55>=0.40): no NEW longs, begin hedge"
2026-05-19,(blank),11,17,0.607,0,cash; optional small SPY/QQQ put,"RISK-OFF (breadth SELL_share=0.61>=0.60): 0% long, 100% cash"
2026-05-20,(blank),30,7,0.189,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-21,(blank),15,5,0.25,0,cash,"NO SIGNAL (blank/legacy state, breadth not elevated): 0% long"
2026-05-22,强势/中性看涨,31,1,0.031,40,rest cash,"RISK-ON (state strong, breadth ok): up to 40% long, equal-weight"
2026-05-26,强势/中性看涨,29,8,0.216,40,rest cash,"RISK-ON (state strong, breadth ok): up to 40% long, equal-weight"
2026-05-27,强势/中性看涨,13,2,0.133,40,rest cash,"RISK-ON (state strong, breadth ok): up to 40% long, equal-weight"
2026-05-28,强势/中性看涨,23,4,0.148,40,rest cash,"RISK-ON (state strong, breadth ok): up to 40% long, equal-weight"
2026-05-29,强势/中性看涨,15,9,0.375,20,rest cash,"RISK-ON soft (state strong, SELL_share=0.38): half size ~20% (interpolated)"
2026-06-01,谨慎看涨,25,7,0.219,0,"start index hedge, rest cash","CAUTION (state=谨慎看涨): no NEW longs, hold <=15%, begin hedge"
2026-06-02,谨慎看涨,39,0,0.0,0,"start index hedge, rest cash","CAUTION (state=谨慎看涨): no NEW longs, hold <=15%, begin hedge"
2026-06-03,风险升高,21,14,0.4,0,cash; optional small SPY/QQQ put,"RISK-OFF (state=风险升高): 0% long, 100% cash"
2026-06-04,谨慎看涨,28,7,0.2,0,"start index hedge, rest cash","CAUTION (state=谨慎看涨): no NEW longs, hold <=15%, begin hedge"
2026-06-05,看跌/避险,4,56,0.933,0,cash; optional small SPY/QQQ put,"RISK-OFF (state=看跌/避险): 0% long, 100% cash"
